Phoneme/Process,Initial,Medial,Final
/th/ (Voiceless),Thumb,Toothbrush,Mouth
/th/ (Voiced),They/This,Feather,Smooth
/zh/,—,Treasure,—
Complexity,Helicopter,Vegetable,Spaghetti
,,,
Word Group,Word,If they say...,Display Label (The Error)
Universal (Any Word),Any,"umb (Thumb), ""ay"" (They), ""aghetti""",Initial Consonant Deletion
Universal (Any Word),Any,"mou (Mouth), ""smoo"" (Smooth)",Final Consonant Deletion
/th/ (Voiceless),"Thumb, Pathway, Mouth","Tumb (Thumb), ""Pat"" (Path), ""Mout"" (Mouth)",Stopping
/th/ (Voiced),"They, Feather, Smooth","Dey (They), ""Feader"" (Feather)",Stopping
/zh/,Treasure,"Treaz-er or ""Tread-er""",Stopping
Complexity,"Helicopter, Vegetable, Spaghetti","He-cop-ter, ""Veb-ta-ble"", ""Pa-ghetti""",Syllable Reduction
