Phoneme/Process,Initial,Medial,Final
"/p, b, m, n/","Pig, Ball","Apple, Bunny","Cup, Sun"
"/t, d/","Ten, Dog","Water, Ladder","Boat, Bed"
"/k, g/ (Fronting)","Key, Goat","Cookie, Tiger","Bike, Bag"
"/f, w, y/","Fish, Whale",Elephant,Leaf
Syllable Shape,Banana (3-syllable check),,
,,,
Word Group,Word,If they say...,Display Label (The Error)
Universal (Any Word),Any,"ig (Pig), ""all"" (Ball), ""en"" (Ten)",Initial Consonant Deletion
Universal (Any Word),Any,"cu (Cup), ""su"" (Sun), ""boa"" (Boat)",Final Consonant Deletion
"/p, b, m, n/","Pig, Ball, Apple, Bunny, Cup, Sun","Fig (Pig), ""Vunny"" (Bunny)",Frication (Atypical for this group)
"/t, d/","Ten, Dog, Water, Ladder, Boat, Bed","Ken (Ten), ""Gog"" (Dog)",Backing (Atypical/Red Flag)
"/k, g/","Key, Goat, Cookie, Wagon, Bike, Bag","Tey (Key), ""Doat"" (Goat), ""Bite"" (Bike)",Fronting
"/f, w, y/","Fish, Muffin, Leaf","Pish (Fish), ""Leap"" (Leaf)",Stopping
"/f, w, y/","Wig, Muffin","Rig (Wig), ""Murrin"" (Muffin)",Liquidization (Atypical)
Syllable Shape,Banana,Nana,Weak Syllable Deletion
